Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Gray Birch,Betula populifolia,Betulaceae,No,No,Rarely,Hardy birch of eastern U.S.; used ornamentally in tough sites.,White bark with dark chevron marks below branches.,Its bark looks like it’s been painted with little mustaches!,Triangular leaves with long points; chalky bark with chevrons.,Paper Birch (*Betula papyrifera*),Triangular leaves and rougher bark,Catkins in spring; seeds in late summer,Yellow fall leaves; catkins appear in spring.,Deciduous,Simple,Alternate,Triangular,2–4 inches,"Rough edges, chalky white bark",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender reddish catkins,Tiny winged nutlets,Small catkins with tiny winged seeds,At twig tips,Wind,Neutral,"Reddish, turns white quickly",White with black chevrons,White bark with dark chevrons,Slender and upright,Multi-stemmed small tree,Alternate,20–40 feet,Fast,"Poor soils, disturbed areas",Northeastern U.S.,Low elevations,"Cool, dry to moist",Non-toxic
Gray Pine,Pinus sabiniana,Pine,Yes,Yes,Likely,"Also called Ghost Pine, Foothill Pine; seeds used by indigenous peoples as food.","Sparse, grayish foliage with very long needles in bundles of 3, large heavy cones.","See a pine with super long, droopy needles and huge cones in the foothills? That’s Gray Pine!","Open, lanky branching; 8–12 inch needles in threes; cones can weigh up to 2+ pounds.","Torrey Pine (Pinus torreyana), but that’s coastal and even rarer.",Bishop Pine also has serotinous cones but typically more symmetric. Knobcone cones often fuse onto branches and look like “knobs.”,Evergreen; cones can remain on branches for several years.,"Minimal seasonal color change, though older needles drop periodically.",Evergreen needles (bundles of 3).,N/A,Fascicles of 3.,"Needles 8–12 inches, drooping.",8–12 inches.,"Gray-green, slender, flexible, drooping.",Evergreen.,"Fascicles of 3, droop in clusters.",8–12 inches.,"Long, thin, pale green-gray.","Male cones in clusters at twig tips, female cones solitary or few together.","Massive cones, 6–10 inches, thick scales with sharp tips.","6–10 inches, egg-shaped, can weigh 1–2+ pounds.","Hanging from branches, can persist for years.","Wind, gravity; seeds often eaten by wildlife.",Mild resin scent.,"Thin, gray-brown, becoming scaly.","Dark gray, deeply fissured plates.","Evergreen needles, very large cones visible.","Slightly conical, open branching.","Open, irregular crown with sparse foliage.","Branches angled upward or outward, spaced out.",30–80 feet (sometimes taller).,Moderate.,"Foothills, dry slopes, chaparral edges.","Sierra foothills, Coast Range foothills.","500–3,000 feet typically.","Hot, dry summers, mild winters; tolerates poor soils.",No major toxicity issues. Cones remain sealed for years and can be very hard.
Green Alder,Alnus viridis,Betulaceae,No,No,Rarely,Nitrogen-fixing shrub important in alpine ecosystems.,Shrubby form with oval leaves and tiny cones.,It’s a tiny tree with baby pinecones!,"Simple toothed leaves, smooth bark, small woody cones.",Speckled Alder (*Alnus incana*),Shrubbier growth and smaller catkins,Catkins in spring; seeds ripen summer,Catkins in spring; leaves green into fall.,Deciduous,Simple,Alternate,Oval to rounded,1–3 inches,"Dull green, toothed",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small yellowish catkins,Tiny nutlets in clusters,Tiny cone-like strobiles <0.5 inch,Tip of twigs,Wind,Neutral,Smooth and reddish-brown,"Stays smooth, may flake",Slender twigs and persistent catkins,Shrubby,"Dense, rounded shrub","Irregular, bushy",6–15 feet,Moderate,Alpine meadows and slopes,"Europe, Asia, Rockies","5,000–10,000 feet","Cold, short growing season",Non-toxic
Heartleaf Birch,Betula cordifolia,Betulaceae,No,No,Rarely,Closely related to paper birch; native to high elevations in the Northeast.,Heart-shaped leaves and white bark.,Its leaves are little hearts!,"White bark, heart-shaped leaves with double serrations.",Paper Birch (*Betula papyrifera*),Heart-shaped base and denser twigs,Catkins in spring; seeds ripen summer,Golden-yellow fall color; catkins in spring.,Deciduous,Simple,Alternate,Oval with heart-shaped base,2–4 inches,"Smooth green, heart-shaped base",Bright yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small yellow catkins,Tiny winged nutlets,Small upright catkins,At branch tips,Wind,Faintly sweet,Smooth and reddish-brown,"White, peeling in strips",Dark bark and zigzag twigs,Slender and upright,Rounded crown,Alternate,30–60 feet,Moderate,Cool mountain forests,Northeastern U.S. and Canada,"2,000–4,500 feet","Cold winters, short summers",Non-toxic
Hedge Maple,Acer campestre,Sapindaceae,Yes,No,Yes,Popular street and hedge tree in Europe; tolerant of pruning.,"Small, rounded leaves with blunt lobes.",Its leaves look like tiny hands!,"Corky twigs, small lobed leaves, double samaras with wide spread.",Field Maple (*Acer campestre*),Smaller lobes and more compact growth,Flowers in spring; samaras ripen in fall,Yellow fall color; flowers and seeds in spring.,Deciduous,Simple,Opposite,3–5 lobed,2–4 inches,"Rounded lobes, soft texture",Yellow to orange,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small yellow-green clusters,Small paired winged samaras,Double samaras with wide angle,Opposite twigs,Wind,Neutral,Smooth and greenish-brown,Ridged and gray-brown,Opposite buds and rounded twigs,Rounded and tidy,"Compact, spreading crown",Opposite,25–35 feet,Slow to moderate,"Urban landscapes, hedgerows",Europe; cultivated in U.S.,Low elevations,"Tolerant of dry, compacted soils",Non-toxic
Honeylocust,Gleditsia triacanthos,Fabaceae,Yes,No,Yes,Widely planted shade tree; seedpods historically used as livestock feed.,Fern-like compound leaves and large twisted seedpods.,Its pods look like giant curly beans!,"Bipinnate leaves, long seedpods, and often thorny trunk.",Black Locust (*Robinia pseudoacacia*),More delicate leaflets and fewer thorns,Flowers in spring; long pods ripen in fall,Yellow fall leaves; pods drop late.,Deciduous,Compound,Alternate,Pinnate with small leaflets,6–12 inches,"Thin, small leaflets, bright green",Golden yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Inconspicuous greenish flowers,Long twisted seed pods,"Seedpods 6–18 inches, twisted",Hanging in clusters,Wind and gravity,Neutral,"Smooth, gray","Dark, furrowed, may have large thorns",Curved seed pods on bare branches,Upright,Wide spreading crown,Alternate and spreading,40–80 feet,Fast,Urban and rural plantings,Central and Eastern U.S.; planted widely,Low to mid elevations,Heat and drought tolerant,Non-toxic
Incense-cedar,Calocedrus decurrens,Cypress,Yes,Yes,Likely,"Used for incense, cedar chests; native tribes used wood for dwellings","Flattened, scale-like foliage with “pencil shavings” aroma","If it smells like a pencil when you crush the leaves, it’s incense-cedar!","Reddish-brown fibrous bark, flattened sprays of scale foliage","Western Redcedar (Thuja plicata), but incense-cedar has “duckbill” cones",Valley Oak has deeper lobes and a bigger trunk. Blue Oak shows a distinct bluish cast on its leaves.,Cones develop in late summer; seeds released fall/winter,Evergreen; pollen cones often in winter/spring,"Evergreen, scale-like",N/A,Opposite scales in flattened sprays,Scale-like,Each scale ~1/8 inch,"Glossy overlapping scales, aromatic when crushed",Evergreen,Scale-like (not typical needles),"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant","Male cones small, clustered; female cones solitary","Small, elongated cones (~1 inch), duckbill-like","~1 inch, splits into 3 scales",Singly or in clusters on branch tips,Wind,Strong “cedar” or pencil-like aroma,"Reddish-brown, relatively smooth, fibrous","Deeply furrowed, fibrous, vertical strips","Evergreen scale foliage, narrow cones","Conical, symmetrical","Columnar to conical, trunk can flare at base","Whorled, flattened sprays",40–150 feet,Moderate,"Mixed conifer forests, well-drained soils","Sierra Nevada, some Coast Ranges","~2,000–8,000 feet",Prefers moderate moisture in montane forests,Acorns have tannins; raw acorns can cause digestive issues if not leached.
Incense-cedar,Calocedrus decurrens,Cupressaceae,Yes,Yes,Yes,Valued for aromatic wood used in pencils; sacred to Native tribes.,Flat sprays of scale leaves and reddish bark.,Smells like a campfire and looks like green lace!,Scale-like leaves in flattened sprays and duck-bill cones.,Western Redcedar (*Thuja plicata*),More flared bark and flattened sprays,Pollen in spring; cones mature in fall,New growth in spring; cones mature in fall.,Evergreen,Simple,Opposite,Scale-like,< 0.25 inch,"Glossy, overlapping flattened scales",None,Scale-like in flattened sprays,< 0.25 inch,"Glossy, green, overlapping scales",Tiny yellow pollen cones,Small barrel-like cones,"0.5–1 inch, duck-bill shaped",Upright on branch tips,Wind,Spicy cedar scent,Smooth and reddish,"Thick, fibrous, cinnamon-red",Flat sprays and cinnamon-colored bark,"Narrow, upright pyramid","Tall, tapering spire","Horizontal, layered",70–150 feet,Moderate,Montane forests,California and Oregon mountains,"2,000–7,000 feet","Dry summers, moist winters",Non-toxic
Italian Alder,Alnus cordata,Betulaceae,Yes,No,Yes,Fast-growing ornamental tree; fixes nitrogen; used for erosion control.,Heart-shaped glossy green leaves and persistent cones.,Its leaves look like valentine hearts!,"Shiny heart-shaped leaves, small cones, smooth gray bark.",European Alder (*Alnus glutinosa*),"Glossy, heart-shaped leaves and reddish bark",Catkins in spring; seeds ripen in summer,Yellow fall color; cones remain into winter.,Deciduous,Simple,Alternate,Heart-shaped,3–5 inches,"Glossy green, sharply pointed tips",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender yellow catkins,Woody cone-like nutlets,0.5–1 inch woody cones,At twig tips,Wind,Neutral,Smooth and greenish-gray,Smooth or slightly fissured gray,Reddish twigs and cone-like fruit,Upright and pyramidal,Rounded crown,"Alternate, spreading",40–80 feet,Fast,Planted in urban and rural areas,Italy; widely cultivated,Low to mid elevations,"Warm temperate, drought-tolerant",Non-toxic
Japanese Blue Oak,Quercus glauca,Beech,"Yes (ornamental, introduced)",No,Likely,"Native to East Asia, but occasionally planted in California gardens and arboreta for ornamental value.","Semi-evergreen oak with glossy, bluish-green leaves that are leathery, and often remain on tree through mild winters.","This is an oak with shiny, bluish leaves—it's not from California originally, but you can find it in gardens!","Oval, leathery leaves with a bluish-green tint; relatively small acorns. Semi-evergreen in mild climates.","Other Asian oaks (Q. myrsinifolia), but Q. glauca is more bluish.","Incense-cedar cones have a duckbill shape, while Western Redcedar cones resemble tiny wooden rose buds.",Retains leaves through winter in mild climates; new flush of growth in spring; acorns mature in autumn.,"Semi-evergreen, some leaf drop in colder winters; otherwise may keep leaves year-round.",Evergreen/semi-evergreen broadleaf,Simple,Alternate,"Elliptic to oval, usually ~2–4 inches long",2–4 inches,"Glossy, bluish-green upper surface, slightly paler underside",May not change much; can drop older leaves gradually,N/A,N/A,N/A,"Inconspicuous catkins (male), small female flowers in spring","Small acorns, ~1 inch, shallow cup",N/A,N/A,"Wildlife (if present), though mostly ornamental plantings",Leaves mild if crushed,"Smooth, grayish-brown",May become slightly fissured with age,"May keep leaves if mild; otherwise, short trunk, branching structure, possible leftover acorns.",Pyramidal or upright oval,"Rounded crown, can become quite large in suitable conditions","Spreading branches, forming a dense canopy",20–50 feet (in cultivation),Moderate,"Ornamental plantings, well-drained soil, moderate water","Introduced in California landscapes, originally from East Asia",Mostly low elevations in ornamental settings,"Thrives in mild, temperate climates with moderate moisture",Foliage oils can irritate the mouth or skin if eaten or handled extensively.
Japanese Maple,Acer palmatum,Sapindaceae,Yes,No,Yes,Iconic ornamental tree in Japanese gardens.,"Delicate, deeply lobed leaves that turn brilliant red in fall.",Its leaves look like fancy paper stars!,"Smooth bark, palmate leaves, double-winged samaras.",Amur Maple (*Acer ginnala*),"Smaller, more delicate leaves and variety of colors",Flowers in spring; samaras mature in summer,"Brilliant red, orange, or purple fall foliage.",Deciduous,Simple,Opposite,Deeply lobed,2–5 inches,"Delicate, variable shape and color","Red, orange, or purple",In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small red flowers on bare twigs,Small paired samaras,"Double samaras, small and flat",Hanging in pairs,Wind,Neutral to sweet,Smooth and greenish or reddish,Smooth or slightly furrowed,Smooth twigs and layered branching,Upright and delicate,"Rounded, spreading","Opposite, arching",10–25 feet,Slow to moderate,Gardens and parks,"Japan, Korea; cultivated worldwide",Low elevations,"Cool roots, filtered sun",Non-toxic
Japanese-cedar,Cryptomeria japonica,Cupressaceae,Yes,No,Yes,Sacred tree in Japan; widely planted as an ornamental and for timber.,"Soft, awl-shaped needles spiraling around twig and reddish bark.",Its needles feel soft like tiny brushes!,"Conical shape, dense foliage, soft needles, and reddish-brown bark.",Chinese-fir (*Cunninghamia lanceolata*),"Softer needles and reddish, shreddy bark",Pollen in spring; cones mature in fall,New growth in spring; cones mature in fall.,Evergreen,Simple,Spiral,"Needle-like, awl-shaped",0.25–0.5 inches,"Sharp, spiraled, dark green",None,Spiraled around twig,0.25–0.5 inch,"Awl-shaped, soft, green",Tiny yellow cones,Small spherical cones,1 inch round cones with bumps,Near branch ends,Wind,Earthy and resinous,Smooth reddish,Peeling reddish-brown strips,"Reddish shreddy bark, stiff needles",Narrow conical,"Tall, dense conical","Horizontal, dense",50–120 feet,Moderate to fast,"Ornamental landscapes, moist slopes",Japan; cultivated in U.S.,Low to mid elevations,"Cool, moist, prefers shelter from wind",Non-toxic
